assay,value,cell_line,inhibitor,ASA,FU,replicate
7AAD,9.81106,HCT116,None,0,0,1
7AAD,8.4342,HCT116,None,0,0,2
7AAD,6.70707,HCT116,None,0,0,3
7AAD,10.43407,HCT116,None,0,50,1
7AAD,9.76766,HCT116,None,0,50,2
7AAD,10.12908,HCT116,None,0,50,3
7AAD,9.37286,HCT116,None,0,75,1
7AAD,8.75477,HCT116,None,0,75,2
7AAD,8.72792,HCT116,None,0,75,3
7AAD,9.01544,HCT116,None,2.5,0,1
7AAD,9.26396,HCT116,None,2.5,0,2
7AAD,7.57612,HCT116,None,2.5,0,3
7AAD,12.62718,HCT116,None,2.5,50,1
7AAD,11.62505,HCT116,None,2.5,50,2
7AAD,12.70514,HCT116,None,2.5,50,3
7AAD,13.52943,HCT116,None,2.5,75,1
7AAD,11.04237,HCT116,None,2.5,75,2
7AAD,13.45524,HCT116,None,2.5,75,3
7AAD,8.5058,HCT116,None,5,0,1
7AAD,10.46457,HCT116,None,5,0,2
7AAD,10.35731,HCT116,None,5,0,3
7AAD,15.63501,HCT116,None,5,50,1
7AAD,13.45222,HCT116,None,5,50,2
7AAD,13.97811,HCT116,None,5,50,3
7AAD,12.79766,HCT116,None,5,75,1
7AAD,13.71442,HCT116,None,5,75,2
7AAD,14.79727,HCT116,None,5,75,3
7AAD,9.71531,HCT116,3-MA,0,0,1
7AAD,9.34484,HCT116,3-MA,0,0,2
7AAD,10.55383,HCT116,3-MA,0,0,3
7AAD,12.3609,HCT116,3-MA,0,50,1
7AAD,11.15781,HCT116,3-MA,0,50,2
7AAD,11.11008,HCT116,3-MA,0,50,3
7AAD,11.46744,HCT116,3-MA,0,75,1
7AAD,12.74829,HCT116,3-MA,0,75,2
7AAD,13.3638,HCT116,3-MA,0,75,3
7AAD,8.33692,HCT116,3-MA,2.5,0,1
7AAD,11.10979,HCT116,3-MA,2.5,0,2
7AAD,10.71559,HCT116,3-MA,2.5,0,3
7AAD,15.62245,HCT116,3-MA,2.5,50,1
7AAD,14.86971,HCT116,3-MA,2.5,50,2
7AAD,12.47485,HCT116,3-MA,2.5,50,3
7AAD,14.10574,HCT116,3-MA,2.5,75,1
7AAD,13.19711,HCT116,3-MA,2.5,75,2
7AAD,15.101,HCT116,3-MA,2.5,75,3
7AAD,13.84424,HCT116,3-MA,5,0,1
7AAD,12.05423,HCT116,3-MA,5,0,2
7AAD,12.70591,HCT116,3-MA,5,0,3
7AAD,17.44512,HCT116,3-MA,5,50,1
7AAD,14.79725,HCT116,3-MA,5,50,2
7AAD,13.73831,HCT116,3-MA,5,50,3
7AAD,17.29786,HCT116,3-MA,5,75,1
7AAD,16.40091,HCT116,3-MA,5,75,2
7AAD,16.7998,HCT116,3-MA,5,75,3
7AAD,9.90494,HCT116,CQ,0,0,1
7AAD,11.74705,HCT116,CQ,0,0,2
7AAD,8.00717,HCT116,CQ,0,0,3
7AAD,12.92799,HCT116,CQ,0,50,1
7AAD,11.65105,HCT116,CQ,0,50,2
7AAD,11.72873,HCT116,CQ,0,50,3
7AAD,12.19008,HCT116,CQ,0,75,1
